input,2040_klimaatzaak
investment_costs_combustion_oil_plant,0
investment_costs_combustion_waste_incinerator,0
investment_costs_electric_heat_pumps,-49
investment_costs_electrolyzers,0
investment_costs_energy_flexibility_hv_opac_electricity,0
investment_costs_energy_flexibility_mv_batteries_electricity,0
investment_costs_flexibility_p2h_electricity,1.694915254
investment_costs_gas_heat_pumps,0
investment_costs_geothermal,-88.39278805
investment_costs_households_flexibility_p2p_electricity,-72
investment_costs_households_storage_space_heating,154.7368
investment_costs_households_storage_water_heating,50.71375
investment_costs_hydrogen_electrolysis,-39
investment_costs_nuclear_nuclear_plant,-11.5
investment_costs_nuclear_small_modular_reactor,0
investment_costs_solar_concentrated_solar_power,0
investment_costs_solar_solar_panels,-68.08266361
investment_costs_solar_thermal,0
investment_costs_water_mountains,0
investment_costs_water_river,-4
investment_costs_wind_offshore,-74.37211686
investment_costs_wind_onshore,-48.88569375
land_use_impact_visual_wind_inland_large_scale,100
land_use_impact_visual_wind_inland_small_scale,0
max_demand_of_biogenic_waste,21.38166
max_demand_of_dry_biomass,62.16023
max_demand_of_oily_biomass,10.5
max_demand_of_wet_biomass,109.873
merit_order_subtype_of_energy_power_nuclear_uranium_oxide,0
natural_gas_total_share,0
om_costs_co2_capture_industry,0
om_costs_co2_ccs,0
om_costs_co2_storage,0
om_costs_co2_transport,0
om_costs_co2_utilisation,0
om_costs_combustion_biomass_plant,-84.45595855
om_costs_combustion_coal_plant,0
om_costs_combustion_gas_plant,0
om_costs_combustion_hydrogen_plant,0
om_costs_combustion_oil_plant,0
om_costs_combustion_waste_incinerator,0
om_costs_geothermal,-39
om_costs_nuclear_nuclear_plant,57.2
om_costs_nuclear_small_modular_reactor,0
om_costs_solar_thermal,0
om_costs_water_mountains,0
om_costs_water_river,0
om_costs_wind_offshore,-77.6161164
om_costs_wind_onshore,-63.86460663
other_useful_demand_electricity,-5
other_useful_demand_non_energetic,-5
other_useful_demand_useable_heat,-5
output_of_energy_production_synthetic_kerosene_must_run,0
output_of_energy_production_synthetic_methanol,0
propane_gas_total_share,0
relative_capacity_of_electrolyser,50
relative_capacity_of_offshore_cable,50
settings_enable_merit_order,1
settings_enable_storage_optimisation_energy_flexibility_flow_batteries_electricity,1
settings_enable_storage_optimisation_energy_flexibility_hv_opac_electricity,1
settings_enable_storage_optimisation_energy_flexibility_mv_batteries_electricity,1
settings_enable_storage_optimisation_energy_flexibility_pumped_storage_electricity,1
settings_enable_storage_optimisation_households_flexibility_p2p_electricity,optimizing_storage
settings_enable_storage_optimisation_transport_car_flexibility_p2p_electricity,1
settings_weather_curve_set,default
share_of_energy_chp_combined_cycle_ht_network_gas,100
share_of_energy_chp_combined_cycle_mt_network_gas,0
share_of_energy_chp_local_engine_ht_biogas,100
share_of_energy_chp_local_engine_ht_network_gas,100
share_of_energy_chp_local_engine_mt_biogas,0
share_of_energy_chp_local_engine_mt_network_gas,0
share_of_energy_chp_local_ht_wood_pellets_ccs_dispatchable,0
share_of_energy_chp_local_ht_wood_pellets_ccs_must_run,0
share_of_energy_chp_local_ht_wood_pellets_dispatchable,100
share_of_energy_chp_local_ht_wood_pellets_must_run,100
share_of_energy_chp_local_mt_wood_pellets_ccs_dispatchable,0
share_of_energy_chp_local_mt_wood_pellets_ccs_must_run,0
share_of_energy_chp_local_mt_wood_pellets_dispatchable,0
share_of_energy_chp_local_mt_wood_pellets_must_run,0
share_of_energy_chp_supercritical_ccs_ht_waste_mix,0
share_of_energy_chp_supercritical_ccs_mt_waste_mix,0
share_of_energy_chp_supercritical_ht_waste_mix,100
share_of_energy_chp_supercritical_mt_waste_mix,0
share_of_energy_chp_ultra_supercritical_cofiring_ht_coal,100
share_of_energy_chp_ultra_supercritical_cofiring_mt_coal,0
share_of_energy_chp_ultra_supercritical_ht_coal,100
share_of_energy_chp_ultra_supercritical_ht_lignite,100
share_of_energy_chp_ultra_supercritical_mt_coal,0
share_of_energy_chp_ultra_supercritical_mt_lignite,0
share_of_energy_heat_flexibility_p2h_boiler_ht_electricity,100
share_of_energy_heat_flexibility_p2h_boiler_mt_electricity,0
share_of_energy_heat_flexibility_p2h_heatpump_ht_electricity,100
share_of_energy_heat_flexibility_p2h_heatpump_mt_electricity,0
share_of_energy_hydrogen_autothermal_reformer_ccs_must_run,100
share_of_energy_hydrogen_biomass_gasification_ccs,100
share_of_energy_hydrogen_steam_methane_reformer_ccs_must_run,100
share_of_energy_power_combined_cycle_ccs_coal,0
share_of_energy_power_combined_cycle_ccs_network_gas,100
share_of_energy_power_supercritical_ccs_waste_mix,0
share_of_energy_power_ultra_supercritical_ccs_coal,0
share_of_energy_power_ultra_supercritical_oxyfuel_ccs_lignite,0
share_of_energy_power_wood_pellets_ccs_dispatchable,0
share_of_energy_power_wood_pellets_ccs_must_run,0
share_of_energy_steel_chemical_feedstock_coal_gas,0
share_of_energy_steel_energy_production_coal_gas,100
share_of_industry_chemicals_fertilizers_captured_combustion_co2,0
share_of_industry_chemicals_fertilizers_captured_processes_co2,0
share_of_industry_chemicals_other_captured_co2,0
share_of_industry_chemicals_refineries_captured_co2,0
share_of_industry_other_food_captured_co2,0
share_of_industry_other_paper_captured_co2,0
share_of_industry_steel_captured_co2,100
share_of_molecules_other_utilisation_delayed_emitted_co2,0
share_of_molecules_other_utilisation_delayed_indefinitely_co2,100
share_of_molecules_transport_pipelines_co2,50
share_of_molecules_transport_ships_co2,50
transport_bicycle_using_electricity_share,50
transport_bicycle_using_human_power_share,50
transport_bicycles_share,10.3
transport_bus_using_compressed_natural_gas_share,0
transport_bus_using_diesel_mix_share,0
transport_bus_using_electricity_availability,0
transport_bus_using_electricity_share,75
transport_bus_using_gasoline_mix_share,0
transport_bus_using_hydrogen_share,25
transport_bus_using_lng_share,0
transport_busses_share,9.3
transport_car_using_compressed_natural_gas_share,0
transport_car_using_diesel_mix_share,0
transport_car_using_electricity_availability,20
transport_car_using_electricity_custom_profile_charging_share,100
transport_car_using_electricity_fast_charging_share,0
transport_car_using_electricity_home_charging_share,0
transport_car_using_electricity_public_charging_share,0
transport_car_using_electricity_share,100
transport_car_using_electricity_work_charging_share,0
transport_car_using_gasoline_mix_share,0
transport_car_using_hydrogen_share,0
transport_car_using_lpg_share,0
transport_cars_share,60.6
transport_freight_train_using_coal_share,0
transport_freight_train_using_diesel_mix_share,0
transport_freight_train_using_electricity_share,100
transport_freight_train_using_hydrogen_share,0
transport_freight_trains_share,2.6
transport_motorcycle_using_electricity_share,100
transport_motorcycle_using_gasoline_mix_share,0
transport_motorcycles_share,3.5
transport_passenger_train_using_coal_share,0
transport_passenger_train_using_diesel_mix_share,0
transport_passenger_train_using_electricity_share,100
transport_passenger_train_using_hydrogen_share,0
transport_passenger_trains_share,15.4
transport_plane_using_bio_ethanol_share,0
transport_plane_using_electricity_share,50
transport_plane_using_gasoline_share,0
transport_plane_using_hydrogen_share,50
transport_plane_using_kerosene_share,0
transport_planes_efficiency,0.8
transport_planes_share,0.1
transport_rail_mixer_diesel_biodiesel_share,100
transport_rail_mixer_diesel_diesel_share,0
transport_road_mixer_diesel_biodiesel_share,100
transport_road_mixer_diesel_diesel_share,0
transport_road_mixer_gasoline_ethanol_share,100
transport_road_mixer_gasoline_gasoline_share,0
transport_road_mixer_lng_bio_lng_share,100
transport_road_mixer_lng_lng_share,0
transport_ship_using_ammonia_share,0
transport_ship_using_diesel_mix_share,0
transport_ship_using_electricity_share,75
transport_ship_using_hydrogen_share,0
transport_ship_using_lng_mix_share,25
transport_shipping_mixer_diesel_bio_ethanol_share,0
transport_shipping_mixer_diesel_bio_lng_share,100
transport_shipping_mixer_diesel_biodiesel_share,0
transport_shipping_mixer_diesel_diesel_share,0
transport_shipping_mixer_diesel_heavy_fuel_oil_share,0
transport_shipping_mixer_diesel_lng_share,0
transport_shipping_mixer_lng_bio_lng_share,100
transport_shipping_mixer_lng_lng_share,0
transport_ships_efficiency,0.4
transport_ships_share,29.2
transport_trains_efficiency,0.1
transport_trams_share,0.8
transport_truck_using_compressed_natural_gas_share,0
transport_truck_using_diesel_mix_share,0
transport_truck_using_electricity_availability,0
transport_truck_using_electricity_share,75
transport_truck_using_gasoline_mix_share,0
transport_truck_using_hydrogen_share,25
transport_truck_using_lng_mix_share,0
transport_trucks_share,67.5
transport_useful_demand_freight_tonne_kms,1
transport_useful_demand_passenger_kms,0.4
transport_van_using_compressed_natural_gas_share,0
transport_van_using_diesel_mix_share,0
transport_van_using_electricity_availability,0
transport_van_using_electricity_share,100
transport_van_using_gasoline_mix_share,0
transport_van_using_hydrogen_share,0
transport_van_using_lpg_share,0
transport_vans_share,0.7
transport_vehicle_combustion_engine_efficiency,0.4
transport_vehicle_using_electricity_efficiency,0.3
transport_vehicle_using_hydrogen_efficiency,0.3
volume_costs_energy_flexibility_flow_batteries_electricity,0
volume_of_baseload_export_ammonia,0
volume_of_baseload_export_coal,0
volume_of_baseload_export_cokes,0
volume_of_baseload_export_crude_oil,0
volume_of_baseload_export_diesel,0
volume_of_baseload_export_gasoline,0
volume_of_baseload_export_heavy_fuel_oil,0
volume_of_baseload_export_hydrogen,195.3858401
volume_of_baseload_export_kerosene,0
volume_of_baseload_export_lignite,0
volume_of_baseload_export_liquid_hydrogen,0
volume_of_baseload_export_lng,0
volume_of_baseload_export_lohc,0
volume_of_baseload_export_lpg,0
volume_of_baseload_export_network_gas,0
volume_of_energy_flexibility_flow_batteries_electricity,41.1
volume_of_energy_flexibility_hv_opac_electricity,6
volume_of_energy_flexibility_mv_batteries_electricity,1.6125
volume_of_energy_flexibility_pumped_storage_electricity,6
volume_of_energy_flexibility_solar_batteries_electricity,1.6125
volume_of_energy_flexibility_wind_batteries_electricity,1.6125
volume_of_energy_hydrogen_storage_depleted_gas_field,0
volume_of_energy_hydrogen_storage_salt_cavern,11
volume_of_households_flexibility_p2p_electricity,1.944
volume_of_ht_imported_heat,0
volume_of_ht_residual_heat,20.1173923
volume_of_lt_imported_heat,0
volume_of_lt_residual_heat,0
volume_of_molecules_import_co2_baseload,0
volume_of_mt_imported_heat,0
volume_of_mt_residual_heat,0
volume_of_transport_bus_using_electricity,0.675
volume_of_transport_car_using_electricity,27.02702703
volume_of_transport_truck_using_electricity,1.664
volume_of_transport_van_using_electricity,6.181818182
wta_of_energy_flexibility_flow_batteries_electricity,6.4
wta_of_energy_flexibility_hv_opac_electricity,10
wta_of_energy_flexibility_mv_batteries_electricity,10
wta_of_energy_flexibility_pumped_storage_electricity,10
wta_of_households_flexibility_p2p_electricity,10
wta_of_industry_chemical_flexibility_load_shifting_electricity,100
wta_of_industry_metal_flexibility_load_shifting_electricity,100
wta_of_industry_other_flexibility_load_shifting_electricity,100
wta_of_industry_other_ict_flexibility_load_shifting_electricity,100
wta_of_transport_car_flexibility_p2p_electricity,10
wtp_of_agriculture_flexibility_p2h_electricity,22
wtp_of_energy_flexibility_flow_batteries_electricity,4.5
wtp_of_energy_flexibility_hv_opac_electricity,5
wtp_of_energy_flexibility_mv_batteries_electricity,5
wtp_of_energy_flexibility_pumped_storage_electricity,5
wtp_of_energy_heat_flexibility_p2h_boiler_electricity,25
wtp_of_energy_heat_flexibility_p2h_heatpump_electricity,25
wtp_of_energy_hydrogen_flexibility_p2g_electricity,30
wtp_of_energy_hydrogen_hybrid_electrolysis_wind_electricity,30
wtp_of_energy_production_synthetic_kerosene_dispatchable,22
wtp_of_households_flexibility_p2p_electricity,5
wtp_of_industry_chemicals_fertilizers_flexibility_p2h_electricity,25
wtp_of_industry_chemicals_other_flexibility_p2h_electricity,25
wtp_of_industry_chemicals_refineries_flexibility_p2h_electricity,25
wtp_of_industry_other_food_flexibility_p2h_electricity,25
wtp_of_industry_other_paper_flexibility_p2h_electricity,25
wtp_of_transport_car_flexibility_p2p_electricity,5
